"","Cazy_Function","AEGEAN-183","AG-339-G14","AG-339-G14 Family","AG-422-B15 Family","Alcanivorax","Alphaproteobacteria Class","Amylibacter_A","Aquiluna","Arctic95D-9","Arctic96AD-7","BACL14","BACL21","BACL24","Bin95 Family","Bradyrhizobium","CG-Epi1","Cutibacterium","D2472","D2472 Family","EC70","Erythrobacter_A","Fibrobacterales Order","Flavobacteriaceae Family","Fuerstia","GCA-002718515","GCA-002724395","GCA-002725925","GCA-002727775","GCA-002728725","GCA-002733185","GCA-2684605","GCA-2689465","GCA-2690565","GCA-2697345","GCA-2700405","GCA-2707915","GCA-2718595","GCA-2722105","GCA-2730555","GCA-2730975","GCA-2862085","Halomonas","HC6-5","Hel1-33-131","Hellea","HIMB11","HTCC2089 Family","HTCC2207","Lentisphaeria Class","Luminiphilus","MAG-121220-bin8","Mariniblastus","Marinobacter","MB11C04","MED-G09","MED-G11","MED-G20","MedAcidi-G1","MedAcidi-G3","MGIIa-K1","MGIIa-L1","MGIIa-L2","MGIIb-O1","MGIIb-O2","MGIIb-O3","MGIIb-O5","MGIIb-P","MS024-2A","Nitrosopelagicus","Nitrosopumilus","OM182","Pelomonas","Pirellulaceae Family","Planktomarina","Polaribacter","Porticoccus","Poseidonia","Poseidoniaceae Family","Pseudoalteromonas","Puniceispirillum","REDSEA-S09-B13","Roseibacillus","Rubripirellula","S20-B6","SAR202 Order","SAR86 Family","SAT2750","SCGC-AAA076-P13","SCGC-AAA160-P02","SG8-40 Family","SW10","Synechococcus_C","Tateyamaria","Terracoccus","Thalassarchaeum","Thalassoarchaeaceae Family","Thioglobus","TMED14","TMED189","TMED48","TMED58","UA16","UBA10364","UBA1096","UBA1100","UBA1100 Family","UBA11606","UBA11654","UBA11654 Family","UBA11663","UBA11791","UBA11996","UBA12010","UBA12014","UBA12015","UBA2110","UBA2589","UBA2979","UBA3505 Family","UBA3537","UBA4421","UBA4466","UBA4582","UBA5682","UBA5691","UBA57","UBA5951","UBA6544","UBA721","UBA7326","UBA7377","UBA7434","UBA7446","UBA796","UBA796 Family","UBA8087","UBA8110","UBA828 Family","UBA8316","UBA8437","UBA8438","UBA8438 Family","UBA8592 Family","UBA868","UBA8687","UBA887","UBA9040","UBA9145","UBA9410","UBA952","UBA9611","UBA9659","UBA974"
"1","CAZy..Alpha.galactans","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","CAZy..Alpha.mannan","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","CAZy..Amorphous.Cellulose","1","1","0","0","1","0","1","0","1","0","0","0","1","0","0","0","1","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","1","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","0","1","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"4","CAZy..Arabinan","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","1","1","1","1","0","1","0","1","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"5","CAZy..Arabinose.cleavage","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","1","1","1","1","1","1","1","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","1","0","0","1","0","0","0","1","1","1","0","0","0","1","1","1","1","1","0","0","0","0","1","1","0","0","1","1","1","1","1","0","1","1","0","1","1","0","0","0","1","0","1","1","0","1","1"
"6","CAZy..Beta.galactan..pectic.galactan.","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","CAZy..Beta.mannan","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","1","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","CAZy..Chitin","0","1","0","1","1","1","1","0","0","1","1","1","0","1","1","0","1","1","1","0","1","1","1","0","0","1","0","1","1","1","1","1","0","1","1","1","1","0","0","1","0","1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","1","1","1","0","0","1","1","0","1","0","0","0","1","1","1","1","0","1","1","1","1","0","0","1","1","0","1","1","1","1","1","0","0","0","0","0","1","1","0","1","1","1","0","1","0","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","1","1","0","1","1","0","1","1","0","1","1","1","0","1","0","1","0","1","1"
"9","CAZy..Crystalline.Cellulose","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","CAZy..Fucose.Cleavage","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","1","0","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","1","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"11","CAZy..Mixed.Linkage.glucans","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","1","0","1","1","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","1","1","0","1","1","1","1","0","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0","1","0","0","1","1","0","0","1","0","1","1","0","1","0","0","1","0","0","0","1","0","1","0","1","1","0","1","0","1","1","0","1","0","0","0","1","1","0","0","0","1","1","1","1","1","0","1","0","0","0","1","0","0","1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"12","CAZy..Mucin","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","CAZy..Pectin","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","1","0","1","0","0","0","1","0","0","0","1","1","0","1","0","0","1","1","1","0","0","0","1","0","1","1","0","0","0","1","1"
"14","CAZy..Polyphenolics","0","1","1","1","1","0","1","0","0","0","0","1","1","0","1","0","1","1","1","0","1","0","1","0","0","0","0","0","1","1","0","0","0","1","0","1","1","0","0","1","1","1","1","0","1","1","0","1","1","1","1","1","1","0","1","1","1","0","0","1","1","1","0","1","1","0","0","1","0","0","1","1","1","1","0","1","1","1","1","1","0","1","0","1","0","1","1","1","1","0","1","1","1","1","0","0","0","0","1","1","0","1","0","1","1","1","1","1","1","1","0","1","1","1","0","0","1","0","0","1","0","0","1","1","1","0","1","1","0","0","0","0","1","0","1","1","0","0","1","1","1","1","0","0","0","1","0","1","1","0","0","1","1"
"15","CAZy..Rhamnose.cleavage","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"16","CAZy..Starch","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","CAZy..Sulf.Polysachharides","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","CAZy..Xylans","1","1","0","0","1","0","1","0","1","0","0","1","1","0","0","0","1","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","1","1","0","1","1","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","1","0","1","0","0","0","1","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"19","CAZy..Xyloglucan","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0","1","1","1","1","1","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","1","1","0","0","1","1","1","1","1","1","1","0","0","0","1","0","0","1","1","1","1","1","1","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","1"
"20","Methanogenesis.and.methanotrophy..acetate....methane..pt.1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","0","1","0","1","1","1","0","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","1","1","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","0","0","1","1","1","1","0","1","1","1","1","1","1","0","1","1","1","1","0","0","1","1","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","0","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"21","Methanogenesis.and.methanotrophy..acetate....methane..pt.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","Methanogenesis.and.methanotrophy..acetate....methane..pt.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
