Bin,Sample,Year,Watermass
40_bin.38,40,2016,SAW
40_bin.4,40,2016,SAW
40_bin.40,40,2016,SAW
40_bin.41,40,2016,SAW
40_bin.42,40,2016,SAW
40_bin.47,40,2016,SAW
40_bin.49,40,2016,SAW
40_bin.54,40,2016,SAW
40_bin.58,40,2016,SAW
40_bin.6,40,2016,SAW
41_bin.10,41,2016,SAW
41_bin.100,41,2016,SAW
41_bin.102,41,2016,SAW
41_bin.17,41,2016,SAW
41_bin.18,41,2016,SAW
41_bin.2,41,2016,SAW
41_bin.21,41,2016,SAW
41_bin.26,41,2016,SAW
41_bin.27,41,2016,SAW
41_bin.28,41,2016,SAW
41_bin.3,41,2016,SAW
41_bin.35,41,2016,SAW
41_bin.39,41,2016,SAW
41_bin.43,41,2016,SAW
41_bin.52,41,2016,SAW
41_bin.53,41,2016,SAW
41_bin.56,41,2016,SAW
41_bin.57,41,2016,SAW
41_bin.58,41,2016,SAW
41_bin.6,41,2016,SAW
41_bin.60,41,2016,SAW
41_bin.61,41,2016,SAW
41_bin.62,41,2016,SAW
41_bin.64,41,2016,SAW
41_bin.69,41,2016,SAW
41_bin.74,41,2016,SAW
41_bin.76,41,2016,SAW
41_bin.77,41,2016,SAW
41_bin.8,41,2016,SAW
41_bin.84,41,2016,SAW
41_bin.85,41,2016,SAW
41_bin.86,41,2016,SAW
41_bin.89,41,2016,SAW
41_bin.99,41,2016,SAW
42_bin.10,42,2016,SAW
42_bin.16,42,2016,SAW
42_bin.17,42,2016,SAW
42_bin.20,42,2016,SAW
42_bin.26,42,2016,SAW
42_bin.27,42,2016,SAW
42_bin.3,42,2016,SAW
42_bin.32,42,2016,SAW
42_bin.33,42,2016,SAW
42_bin.34,42,2016,SAW
42_bin.38,42,2016,SAW
42_bin.39,42,2016,SAW
42_bin.43,42,2016,SAW
42_bin.44,42,2016,SAW
42_bin.47,42,2016,SAW
42_bin.50,42,2016,SAW
42_bin.51,42,2016,SAW
42_bin.53,42,2016,SAW
42_bin.55,42,2016,SAW
42_bin.57,42,2016,SAW
42_bin.58,42,2016,SAW
42_bin.59,42,2016,SAW
42_bin.60,42,2016,SAW
42_bin.62,42,2016,SAW
42_bin.65,42,2016,SAW
42_bin.66,42,2016,SAW
42_bin.67,42,2016,SAW
43_bin.10,43,2016,Deep
43_bin.18,43,2016,Deep
43_bin.23,43,2016,Deep
43_bin.24,43,2016,Deep
43_bin.25,43,2016,Deep
43_bin.27,43,2016,Deep
43_bin.28,43,2016,Deep
43_bin.30,43,2016,Deep
43_bin.31,43,2016,Deep
43_bin.33,43,2016,Deep
43_bin.36,43,2016,Deep
43_bin.37,43,2016,Deep
43_bin.42,43,2016,Deep
43_bin.45,43,2016,Deep
43_bin.5,43,2016,Deep
43_bin.6,43,2016,Deep
43_bin.8,43,2016,Deep
43_bin.9,43,2016,Deep
44_bin.11,44,2016,STW
44_bin.13,44,2016,STW
44_bin.17,44,2016,STW
44_bin.21,44,2016,STW
44_bin.27,44,2016,STW
44_bin.35,44,2016,STW
45_bin.18,45,2016,Front
45_bin.3,45,2016,Front
45_bin.9,45,2016,Front
46_bin.18,46,2016,SAW
46_bin.2,46,2016,SAW
46_bin.25,46,2016,SAW
46_bin.26,46,2016,SAW
46_bin.29,46,2016,SAW
46_bin.30,46,2016,SAW
46_bin.36,46,2016,SAW
46_bin.4,46,2016,SAW
46_bin.47,46,2016,SAW
46_bin.51,46,2016,SAW
46_bin.52,46,2016,SAW
46_bin.6,46,2016,SAW
47_bin.12,47,2016,Deep
47_bin.13,47,2016,Deep
47_bin.16,47,2016,Deep
47_bin.20,47,2016,Deep
47_bin.21,47,2016,Deep
47_bin.25,47,2016,Deep
47_bin.30,47,2016,Deep
47_bin.36,47,2016,Deep
47_bin.37,47,2016,Deep
47_bin.38,47,2016,Deep
47_bin.39,47,2016,Deep
47_bin.4,47,2016,Deep
47_bin.40,47,2016,Deep
47_bin.41,47,2016,Deep
47_bin.42,47,2016,Deep
47_bin.5,47,2016,Deep
47_bin.9,47,2016,Deep
48_bin.1,48,2017,STW
48_bin.2,48,2017,STW
48_bin.20,48,2017,STW
48_bin.32,48,2017,STW
48_bin.34,48,2017,STW
48_bin.37,48,2017,STW
48_bin.41,48,2017,STW
48_bin.44,48,2017,STW
48_bin.55,48,2017,STW
48_bin.8,48,2017,STW
49_bin.2,49,2017,Front
49_bin.4,49,2017,Front
50_bin.11,50,2017,SAW
50_bin.14,50,2017,SAW
50_bin.15,50,2017,SAW
50_bin.16,50,2017,SAW
50_bin.2,50,2017,SAW
50_bin.20,50,2017,SAW
50_bin.21,50,2017,SAW
50_bin.23,50,2017,SAW
50_bin.24,50,2017,SAW
50_bin.27,50,2017,SAW
50_bin.5,50,2017,SAW
50_bin.9,50,2017,SAW
51_bin.1,51,2017,Deep
51_bin.12,51,2017,Deep
51_bin.15,51,2017,Deep
51_bin.16,51,2017,Deep
51_bin.18,51,2017,Deep
51_bin.19,51,2017,Deep
51_bin.21,51,2017,Deep
51_bin.22,51,2017,Deep
51_bin.23,51,2017,Deep
51_bin.24,51,2017,Deep
51_bin.26,51,2017,Deep
51_bin.28,51,2017,Deep
51_bin.30,51,2017,Deep
51_bin.32,51,2017,Deep
51_bin.42,51,2017,Deep
51_bin.47,51,2017,Deep
51_bin.5,51,2017,Deep
51_bin.52,51,2017,Deep
51_bin.53,51,2017,Deep
51_bin.54,51,2017,Deep
51_bin.55,51,2017,Deep
51_bin.63,51,2017,Deep
51_bin.64,51,2017,Deep
51_bin.7,51,2017,Deep
51_bin.8,51,2017,Deep
52_bin.21,52,2017,STW
52_bin.25,52,2017,STW
52_bin.27,52,2017,STW
52_bin.3,52,2017,STW
52_bin.35,52,2017,STW
52_bin.37,52,2017,STW
52_bin.38,52,2017,STW
52_bin.39,52,2017,STW
52_bin.43,52,2017,STW
52_bin.46,52,2017,STW
52_bin.48,52,2017,STW
52_bin.49,52,2017,STW
52_bin.56,52,2017,STW
52_bin.60,52,2017,STW
52_bin.9,52,2017,STW
53_bin.10,53,2017,SAW
53_bin.13,53,2017,SAW
53_bin.14,53,2017,SAW
53_bin.29,53,2017,SAW
53_bin.31,53,2017,SAW
54_bin.1,54,2017,SAW
54_bin.12,54,2017,SAW
54_bin.14,54,2017,SAW
54_bin.16,54,2017,SAW
54_bin.17,54,2017,SAW
54_bin.26,54,2017,SAW
54_bin.29,54,2017,SAW
54_bin.3,54,2017,SAW
54_bin.31,54,2017,SAW
54_bin.32,54,2017,SAW
54_bin.35,54,2017,SAW
54_bin.36,54,2017,SAW
54_bin.37,54,2017,SAW
54_bin.38,54,2017,SAW
54_bin.39,54,2017,SAW
54_bin.8,54,2017,SAW
54_bin.9,54,2017,SAW
56_bin.13,56,2017,STW
56_bin.16,56,2017,STW
56_bin.18,56,2017,STW
56_bin.20,56,2017,STW
56_bin.30,56,2017,STW
56_bin.33,56,2017,STW
56_bin.34,56,2017,STW
56_bin.5,56,2017,STW
57_bin.11,57,2017,Front
57_bin.18,57,2017,Front
57_bin.5,57,2017,Front
57_bin.7,57,2017,Front
58_bin.12,58,2017,SAW
58_bin.15,58,2017,SAW
58_bin.29,58,2017,SAW
58_bin.3,58,2017,SAW
58_bin.32,58,2017,SAW
59_bin.1,59,2017,STW
59_bin.3,59,2017,STW
61_bin.10,61,2017,Deep
61_bin.11,61,2017,Deep
61_bin.12,61,2017,Deep
61_bin.16,61,2017,Deep
61_bin.20,61,2017,Deep
61_bin.21,61,2017,Deep
61_bin.24,61,2017,Deep
61_bin.26,61,2017,Deep
61_bin.27,61,2017,Deep
61_bin.28,61,2017,Deep
61_bin.29,61,2017,Deep
61_bin.32,61,2017,Deep
61_bin.33,61,2017,Deep
61_bin.34,61,2017,Deep
61_bin.37,61,2017,Deep
61_bin.38,61,2017,Deep
61_bin.40,61,2017,Deep
61_bin.42,61,2017,Deep
61_bin.43,61,2017,Deep
61_bin.48,61,2017,Deep
61_bin.49,61,2017,Deep
61_bin.5,61,2017,Deep
61_bin.50,61,2017,Deep
61_bin.53,61,2017,Deep
61_bin.54,61,2017,Deep
61_bin.56,61,2017,Deep
61_bin.57,61,2017,Deep
61_bin.58,61,2017,Deep
61_bin.9,61,2017,Deep
62_bin.1,62,2017,STW
62_bin.17,62,2017,STW
62_bin.19,62,2017,STW
62_bin.21,62,2017,STW
62_bin.36,62,2017,STW
62_bin.5,62,2017,STW
62_bin.8,62,2017,STW
62_bin.9,62,2017,STW
63_bin.1,63,2017,SAW
63_bin.15,63,2017,SAW
63_bin.20,63,2017,SAW
63_bin.3,63,2017,SAW
63_bin.8,63,2017,SAW
63_bin.9,63,2017,SAW
64_bin.1,64,2017,Deep
64_bin.12,64,2017,Deep
64_bin.14,64,2017,Deep
64_bin.18,64,2017,Deep
64_bin.19,64,2017,Deep
64_bin.26,64,2017,Deep
64_bin.3,64,2017,Deep
64_bin.33,64,2017,Deep
64_bin.34,64,2017,Deep
64_bin.6,64,2017,Deep
64_bin.8,64,2017,Deep
65_bin.17,65,2017,STW
65_bin.20,65,2017,STW
65_bin.22,65,2017,STW
65_bin.23,65,2017,STW
65_bin.25,65,2017,STW
65_bin.3,65,2017,STW
65_bin.32,65,2017,STW
65_bin.38,65,2017,STW
65_bin.40,65,2017,STW
65_bin.42,65,2017,STW
66_bin.10,66,2017,SAW
66_bin.12,66,2017,SAW
66_bin.13,66,2017,SAW
66_bin.29,66,2017,SAW
66_bin.6,66,2017,SAW
67_bin.11,67,2017,STW
67_bin.12,67,2017,STW
67_bin.15,67,2017,STW
67_bin.17,67,2017,STW
67_bin.18,67,2017,STW
67_bin.2,67,2017,STW
67_bin.26,67,2017,STW
67_bin.29,67,2017,STW
67_bin.3,67,2017,STW
67_bin.36,67,2017,STW
67_bin.37,67,2017,STW
67_bin.5,67,2017,STW
67_bin.7,67,2017,STW
68_bin.10,68,2017,SAW
68_bin.11,68,2017,SAW
68_bin.13,68,2017,SAW
68_bin.15,68,2017,SAW
68_bin.16,68,2017,SAW
68_bin.18,68,2017,SAW
68_bin.19,68,2017,SAW
68_bin.22,68,2017,SAW
68_bin.24,68,2017,SAW
68_bin.28,68,2017,SAW
68_bin.29,68,2017,SAW
68_bin.33,68,2017,SAW
68_bin.34,68,2017,SAW
69_bin.11,69,2017,Deep
69_bin.12,69,2017,Deep
69_bin.13,69,2017,Deep
69_bin.14,69,2017,Deep
69_bin.16,69,2017,Deep
69_bin.2,69,2017,Deep
69_bin.22,69,2017,Deep
69_bin.23,69,2017,Deep
69_bin.25,69,2017,Deep
69_bin.27,69,2017,Deep
69_bin.7,69,2017,Deep
69_bin.9,69,2017,Deep
70_bin.13,70,2018,STW
70_bin.14,70,2018,STW
70_bin.15,70,2018,STW
70_bin.18,70,2018,STW
70_bin.27,70,2018,STW
70_bin.3,70,2018,STW
70_bin.31,70,2018,STW
70_bin.32,70,2018,STW
70_bin.6,70,2018,STW
70_bin.8,70,2018,STW
71_bin.12,71,2018,SAW
71_bin.13,71,2018,SAW
71_bin.14,71,2018,SAW
71_bin.18,71,2018,SAW
71_bin.2,71,2018,SAW
71_bin.20,71,2018,SAW
71_bin.4,71,2018,SAW
71_bin.6,71,2018,SAW
71_bin.8,71,2018,SAW
71_bin.9,71,2018,SAW
72_bin.1,72,2018,Deep
72_bin.11,72,2018,Deep
72_bin.12,72,2018,Deep
72_bin.13,72,2018,Deep
72_bin.2,72,2018,Deep
72_bin.3,72,2018,Deep
72_bin.8,72,2018,Deep
72_bin.9,72,2018,Deep
73_bin.3,73,2018,STW
73_bin.6,73,2018,STW
74_bin.1,74,2018,SAW
74_bin.10,74,2018,SAW
74_bin.11,74,2018,SAW
74_bin.13,74,2018,SAW
74_bin.14,74,2018,SAW
74_bin.17,74,2018,SAW
74_bin.2,74,2018,SAW
74_bin.21,74,2018,SAW
74_bin.28,74,2018,SAW
74_bin.29,74,2018,SAW
74_bin.3,74,2018,SAW
74_bin.4,74,2018,SAW
74_bin.5,74,2018,SAW
74_bin.7,74,2018,SAW
76_bin.16,76,2018,STW
76_bin.19,76,2018,STW
76_bin.20,76,2018,STW
76_bin.22,76,2018,STW
76_bin.26,76,2018,STW
76_bin.3,76,2018,STW
76_bin.30,76,2018,STW
76_bin.32,76,2018,STW
76_bin.34,76,2018,STW
76_bin.36,76,2018,STW
76_bin.43,76,2018,STW
76_bin.44,76,2018,STW
77_bin.1,77,2018,SAW
77_bin.11,77,2018,SAW
77_bin.12,77,2018,SAW
77_bin.15,77,2018,SAW
77_bin.16,77,2018,SAW
77_bin.18,77,2018,SAW
77_bin.19,77,2018,SAW
77_bin.21,77,2018,SAW
77_bin.24,77,2018,SAW
77_bin.31,77,2018,SAW
77_bin.32,77,2018,SAW
77_bin.34,77,2018,SAW
77_bin.35,77,2018,SAW
77_bin.37,77,2018,SAW
77_bin.4,77,2018,SAW
77_bin.40,77,2018,SAW
77_bin.41,77,2018,SAW
77_bin.48,77,2018,SAW
77_bin.49,77,2018,SAW
77_bin.7,77,2018,SAW
78_bin.10,78,2018,STW
78_bin.17,78,2018,STW
78_bin.20,78,2018,STW
78_bin.21,78,2018,STW
78_bin.22,78,2018,STW
78_bin.24,78,2018,STW
78_bin.30,78,2018,STW
78_bin.36,78,2018,STW
78_bin.42,78,2018,STW
78_bin.45,78,2018,STW
79_bin.10,79,2018,SAW
79_bin.12,79,2018,SAW
79_bin.16,79,2018,SAW
79_bin.17,79,2018,SAW
79_bin.22,79,2018,SAW
79_bin.23,79,2018,SAW
79_bin.27,79,2018,SAW
79_bin.28,79,2018,SAW
79_bin.29,79,2018,SAW
79_bin.3,79,2018,SAW
79_bin.30,79,2018,SAW
79_bin.37,79,2018,SAW
79_bin.40,79,2018,SAW
79_bin.47,79,2018,SAW
79_bin.49,79,2018,SAW
79_bin.5,79,2018,SAW
79_bin.53,79,2018,SAW
79_bin.56,79,2018,SAW
79_bin.61,79,2018,SAW
79_bin.66,79,2018,SAW
80_bin.1,80,2018,Deep
80_bin.10,80,2018,Deep
80_bin.13,80,2018,Deep
80_bin.15,80,2018,Deep
80_bin.16,80,2018,Deep
80_bin.19,80,2018,Deep
80_bin.20,80,2018,Deep
80_bin.21,80,2018,Deep
80_bin.23,80,2018,Deep
80_bin.25,80,2018,Deep
80_bin.27,80,2018,Deep
80_bin.29,80,2018,Deep
80_bin.31,80,2018,Deep
80_bin.33,80,2018,Deep
80_bin.35,80,2018,Deep
80_bin.36,80,2018,Deep
80_bin.37,80,2018,Deep
80_bin.42,80,2018,Deep
80_bin.44,80,2018,Deep
80_bin.45,80,2018,Deep
80_bin.46,80,2018,Deep
80_bin.5,80,2018,Deep
80_bin.7,80,2018,Deep
80_bin.8,80,2018,Deep
81_bin.2,81,2018,STW
81_bin.6,81,2018,STW
82_bin.10,82,2018,SAW
82_bin.11,82,2018,SAW
82_bin.12,82,2018,SAW
82_bin.14,82,2018,SAW
82_bin.16,82,2018,SAW
82_bin.2,82,2018,SAW
82_bin.21,82,2018,SAW
82_bin.26,82,2018,SAW
82_bin.27,82,2018,SAW
82_bin.29,82,2018,SAW
82_bin.32,82,2018,SAW
82_bin.7,82,2018,SAW
83_bin.1,83,2018,Deep
83_bin.10,83,2018,Deep
83_bin.12,83,2018,Deep
83_bin.14,83,2018,Deep
83_bin.15,83,2018,Deep
83_bin.23,83,2018,Deep
83_bin.25,83,2018,Deep
83_bin.26,83,2018,Deep
83_bin.27,83,2018,Deep
83_bin.3,83,2018,Deep
83_bin.30,83,2018,Deep
83_bin.32,83,2018,Deep
83_bin.33,83,2018,Deep
83_bin.35,83,2018,Deep
83_bin.39,83,2018,Deep
83_bin.41,83,2018,Deep