Watermas,reads
STW,14189599.5
STW,15474298.75
STW,17052213
STW,17754346.75
STW,18380954.75
STW,18601468.75
STW,18668096
STW,18680274
STW,18975117.75
STW,19076849.75
STW,19992136.25
STW,19998545
STW,21006590.25
STW,21072373.75
STW,21296504
STW,21499335
STW,22681926.75
STW,22871124.5
STW,22990193.5
STW,23340462.75
STW,24138492
STW,25498791.75
STW,27778662
STW,29740826.5
SAW,14252429.5
SAW,16023592
SAW,16328249.75
SAW,16704897
SAW,17321187.5
SAW,17863478
SAW,17890497.75
SAW,18775569.75
SAW,18897478.25
SAW,19000640.75
SAW,19428451.25
SAW,20526269.25
SAW,20834947
SAW,21288353.25
SAW,21570190.75
SAW,21805991
SAW,21919203
SAW,22359219.25
SAW,22552972.75
SAW,23372017
SAW,23789837.75
SAW,24576238.5
SAW,24755554.25
SAW,25206839
SAW,26121046
SAW,26276910
SAW,27195254.5
SAW,27242559
SAW,27720554.5
SAW,30314184.25
SAW,37459225.75
SAW,38265589.5
SAW,38789312.5
Deep,1832741.25
Deep,3477609
Deep,7973762.25
Deep,13336577.25
Deep,15408469.75
Deep,17666325
Deep,18887065.5
Deep,22022946
Deep,22105783.25
Deep,23053549.5
Deep,23235694.5
Deep,24241291.25
Deep,24853478.25
Deep,25557054
Deep,26545265.75
Deep,26589998
Deep,38174187.5